idx,sub_1_smiles,sub_2_smiles,product_smiles
217,CNOC,O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,CON(C)C(=O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2
218,COC(=O)c1ccc(N)cc1OC,O=C(O)COc1ccccc1,COC(=O)c1ccc(NC(=O)COc2ccccc2)cc1OC
219,CNOC,O=C(O)c1cccc(-c2ccccc2)c1,CON(C)C(=O)c1cccc(-c2ccccc2)c1
220,C[C@@H](N)c1ccccc1,Cc1ccc(C(=O)O)cc1F,Cc1ccc(C(=O)N[C@H](C)c2ccccc2)cc1F
221,CNOC,O=C(O)COc1ccccc1,CON(C)C(=O)COc1ccccc1
222,CNOC,Cn1cc(C(=O)O)c(C(F)F)n1,CON(C)C(=O)c1cn(C)nc1C(F)F
223,CCOc1cc(N)ccn1,O=C(O)COc1ccccc1,CCOc1cc(NC(=O)COc2ccccc2)ccn1
224,NCc1cccc2ccccc12,Cc1ccc(CC(=O)O)cc1,Cc1ccc(CC(=O)NCc2cccc3ccccc23)cc1
225,CC(=O)c1ccc(N)cc1,O=C(O)C(c1ccccc1)c1ccccc1,CC(=O)c1ccc(NC(=O)C(c2ccccc2)c2ccccc2)cc1
226,Cc1ccc([N+](=O)[O-])cc1N,CC(C)(C)c1cc(C(=O)O)cc(C(C)(C)C)c1,Cc1ccc([N+](=O)[O-])cc1NC(=O)c1cc(C(C)(C)C)cc(C(C)(C)C)c1
227,NCc1ccc(F)cc1F,O=C(O)c1ncccn1,O=C(NCc1ccc(F)cc1F)c1ncccn1
228,COc1ccc(N)cc1,Cn1cc(C(=O)O)c(C(F)F)n1,COc1ccc(NC(=O)c2cn(C)nc2C(F)F)cc1
229,CCOc1cc(N)ccn1,O=C(O)Cc1cc(F)cc(F)c1,CCOc1cc(NC(=O)Cc2cc(F)cc(F)c2)ccn1
230,CC(=O)c1ccc(N)cc1,O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,CC(=O)c1ccc(NC(=O)Cc2ccc3c(c2)C(=O)c2ccccc2CO3)cc1
231,CCOC(=O)c1cccc(N)c1,Cc1ccc(C(=O)O)c2ccccc12,CCOC(=O)c1cccc(NC(=O)c2ccc(C)c3ccccc23)c1
232,CNc1ccc(OC)cc1,O=C(O)c1ncccn1,COc1ccc(N(C)C(=O)c2ncccn2)cc1
233,Nc1ccc(Cl)cc1,O=C(O)Cc1ccc2c(c1)OCO2,O=C(Cc1ccc2c(c1)OCO2)Nc1ccc(Cl)cc1
234,CCCCN1CCNCC1,Cc1cc(C(=O)O)cc(Cl)n1,CCCCN1CCN(C(=O)c2cc(C)nc(Cl)c2)CC1
235,NCc1ccc(F)cc1F,Cc1cc(C)cc(C(=O)O)c1,Cc1cc(C)cc(C(=O)NCc2ccc(F)cc2F)c1
236,CCNC(C)C,O=C(O)C(c1ccccc1)c1ccccc1,CCN(C(=O)C(c1ccccc1)c1ccccc1)C(C)C
237,Cc1ccc(N)c(C)c1,Cc1ccc(CC(=O)O)cc1,Cc1ccc(CC(=O)Nc2ccc(C)cc2C)cc1
238,CNc1ccc(OC)cc1,Cc1c(C(=O)O)oc2ccccc12,COc1ccc(N(C)C(=O)c2oc3ccccc3c2C)cc1
239,CSc1cccc(N)c1,Cc1ccc2cc(C(=O)O)ccc2n1,CSc1cccc(NC(=O)c2ccc3nc(C)ccc3c2)c1
240,CNc1ccc(F)cc1,O=C(O)c1cc2ccccc2s1,CN(C(=O)c1cc2ccccc2s1)c1ccc(F)cc1
241,NCc1ccc2c(c1)OCO2,O=C(O)C1CCC(F)(F)CC1,O=C(NCc1ccc2c(c1)OCO2)C1CCC(F)(F)CC1
242,CC(=O)c1ccc(N)cc1,COc1ccc2cc(C(C)C(=O)O)ccc2c1,COc1ccc2cc(C(C)C(=O)Nc3ccc(C(C)=O)cc3)ccc2c1
243,NCc1ccc(F)cc1F,O=C(O)c1ccc2nccnc2c1,O=C(NCc1ccc(F)cc1F)c1ccc2nccnc2c1
244,NCc1cccc2ccccc12,O=C(O)Cc1ccc2c(c1)OCO2,O=C(Cc1ccc2c(c1)OCO2)NCc1cccc2ccccc12
